"name","source","native","description","query","agepcd","intersections","p_uncorrected","p_fdr","enrichment_ratio","color","top5_GO.BP","top5_GO.CC","top5_GO.MF","p_fdr_age"
"cell-cell signaling (GO:0007267)","GO:BP","GO:0007267","""Any process that mediates the transfer of information from one cell to another. This process includes signal transduction in the receiving cell and, where applicable, release of a ligand and any processes that actively facilitate its transport and presentation to the receiving cell. Examples include signaling via soluble ligands, via cell adhesion molecules and via gap junctions."" [GOC:dos, GOC:mah]","agepcd280",280,"['AKAP5', 'GRIN3A', 'PRR7', 'NPTX1', 'BRSK1', 'CPEB3', 'SYNJ1', 'SLC17A6', 'SLC32A1', 'RTN4', 'C2CD2L', 'KCNJ3', 'GABRG2', 'SLITRK3', 'NRXN1', 'FRAT1', 'SLITRK5', 'CACNA2D1', 'GSKIP', 'GABRB2', 'NPTX2', 'NRXN3', 'CHRNA2', 'GRM8', 'GRM3', 'NCDN', 'DKK3', 'LRFN2', 'SLC1A1', 'NTSR1', 'SHISA8', 'CACNA1E', 'SYN3', 'WNK2', 'GABRB3', 'LRRTM1', 'ARHGAP44', 'PFN2', 'SLC4A10', 'TIAM1', 'RYR2', 'SLC12A5', 'DLGAP1', 'RASD2', 'GRK5', 'CUX2', 'DACT1', 'BAIAP2', 'DGKI', 'STXBP5L', 'SCN4B', 'NTNG2', 'AMPH', 'GNB1', 'MAGI2', 'HOMER1', 'YWHAG', 'SLC8A2', 'PPFIA3', 'FRRS1L', 'CAMKV', 'SMPD3', 'PTPRN', 'CDKL5', 'SHISA9', 'PRKCE', 'RIMS4', 'HECW1', 'PTPRN2', 'MEF2C']",1.88168489698905e-07,5.3512223570527e-05,1.82033789125406,0,0,0,0,1.9757691418385e-06
"cell-cell signaling (GO:0007267)","GO:BP","GO:0007267","""Any process that mediates the transfer of information from one cell to another. This process includes signal transduction in the receiving cell and, where applicable, release of a ligand and any processes that actively facilitate its transport and presentation to the receiving cell. Examples include signaling via soluble ligands, via cell adhesion molecules and via gap junctions."" [GOC:dos, GOC:mah]","agepcd327",327,"['GRIK5', 'AMER3', 'GSKIP', 'AKAP7', 'NLGN4X', 'PTCHD1', 'SYNJ1', 'SLC1A1', 'WNK2', 'LRRTM1', 'FRRS1L', 'SMPD3', 'SLC12A5', 'SLC8A2', 'NPTX2', 'NRXN1', 'GNB1', 'CPEB3', 'RASD2', 'TSC22D1', 'NPTX1', 'PPP1R9A', 'GABRB2', 'SYT6', 'HTR1A', 'TSHZ3', 'PTPRN', 'PPFIA3', 'SLITRK3', 'CUX2', 'IRS1', 'CDKL5', 'CHRM2', 'SHISA8', 'CRY2', 'GABRG2', 'STXBP5L', 'HOMER1', 'CITED1', 'KCNJ3', 'RYR2', 'DACT1', 'CACNA2D2', 'CACNA1E', 'NTNG2', 'ARHGAP44', 'MEF2C', 'TIAM1', 'DLGAP1', 'SLITRK5', 'MAGI2', 'GRM8', 'SYN3', 'BAIAP2', 'LRFN2', 'SHISA9', 'AMPH', 'PRKCE', 'DGKI', 'GRK5', 'SLC4A10', 'CAMKV', 'HECW1', 'SCN4B', 'PTPRN2']",4.91134868665073e-06,0.00158770508452091,1.71420511667565,0,0,0,0,2.57845806049164e-05
"cell-cell signaling (GO:0007267)","GO:BP","GO:0007267","""Any process that mediates the transfer of information from one cell to another. This process includes signal transduction in the receiving cell and, where applicable, release of a ligand and any processes that actively facilitate its transport and presentation to the receiving cell. Examples include signaling via soluble ligands, via cell adhesion molecules and via gap junctions."" [GOC:dos, GOC:mah]","agepcd388",388,"['CADPS2', 'GABRG2', 'NTNG2', 'SLC4A8', 'PRKCE', 'PNKD', 'SNPH', 'GABRB2', 'UNC13B', 'SLC4A10', 'NEUROD2', 'HECW1', 'SYT6', 'MAFA', 'GRK5', 'PDYN', 'SHISA9', 'TSC22D1', 'PTPRN2', 'CACNA2D2', 'MAGI2', 'RASD2', 'CHRM2', 'CPEB3', 'SIAH2', 'CAMKV', 'ARHGAP44', 'NLGN4X', 'CTNNB1', 'LRFN2', 'SLITRK3', 'CACNA1E', 'GABRG1', 'NPTX1', 'CPLX2', 'RSPO2', 'HTR7', 'DGKI', 'KCNJ3', 'TIAM1', 'BAIAP2', 'SYN3', 'CCKAR', 'SHISA8', 'AKAP7', 'SCN4B', 'AMPH', 'TSHZ3', 'RYR2', 'GRM8', 'CITED1']",0.009828914688776,0.729606356047825,1.37412510130406,0,0,0,0,0.0229341342738107
"cell-cell signaling (GO:0007267)","GO:BP","GO:0007267","""Any process that mediates the transfer of information from one cell to another. This process includes signal transduction in the receiving cell and, where applicable, release of a ligand and any processes that actively facilitate its transport and presentation to the receiving cell. Examples include signaling via soluble ligands, via cell adhesion molecules and via gap junctions."" [GOC:dos, GOC:mah]","agepcd449",449,"['PNKD', 'ADCY8', 'CADPS2', 'CHRNA2', 'GABRB2', 'CHRM2', 'SNPH', 'SYT6', 'SLC4A8', 'NMB', 'MYB', 'SHISA9', 'ARHGAP44', 'PTK7', 'UNC13B', 'CTNNB1', 'CRHR2', 'MAFA', 'RASD2', 'HTR7', 'CPEB3', 'SCN4B', 'SLITRK3', 'BAIAP2', 'TIAM1', 'KCNJ3', 'CACNA1E', 'AKAP7', 'GABRG1', 'PDYN', 'NEUROD2', 'DGKI', 'AMPH', 'NLGN4X', 'SYN3', 'RSPO2', 'NPTX1', 'SHISA8', 'CPLX2', 'CCKAR', 'TSHZ3', 'GRM8', 'RYR2', 'CITED1']",0.0886161448832228,0.802862272641999,1.22077678655105,0,0,0,0,0.126882207446433
"cell-cell signaling (GO:0007267)","GO:BP","GO:0007267","""Any process that mediates the transfer of information from one cell to another. This process includes signal transduction in the receiving cell and, where applicable, release of a ligand and any processes that actively facilitate its transport and presentation to the receiving cell. Examples include signaling via soluble ligands, via cell adhesion molecules and via gap junctions."" [GOC:dos, GOC:mah]","agepcd510",510,"['MED12', 'SST', 'STK4', 'NKD2', 'ARF1', 'SYTL4', 'RBP4', 'PTGES', 'SPG11', 'MINK1', 'NPY', 'NOTCH1', 'PTPN11', 'ATP6V1C2', 'LGI1', 'HCN4', 'FFAR4', 'WNT10A', 'HMGCR', 'DOC2B', 'ASPM', 'TNKS', 'CBLN2', 'HES1', 'WLS', 'WNT7A', 'CARTPT', 'GLI1', 'SLC6A9', 'HIP1', 'LRRC4C', 'HGF', 'VGLL4', 'PPARG', 'SOSTDC1', 'GREM1', 'GIT1', 'DRD5', 'GRID2', 'CHRDL1', 'CACNB2', 'CDH11', 'EFNB1', 'OXTR']",0.0483312982325247,0.406596311252379,1.27777803728495,0,0,0,0,0.0895550526073252
"cell-cell signaling (GO:0007267)","GO:BP","GO:0007267","""Any process that mediates the transfer of information from one cell to another. This process includes signal transduction in the receiving cell and, where applicable, release of a ligand and any processes that actively facilitate its transport and presentation to the receiving cell. Examples include signaling via soluble ligands, via cell adhesion molecules and via gap junctions."" [GOC:dos, GOC:mah]","agepcd571",571,"['ANK2', 'RAB3A', 'P2RX5', 'SYNGAP1', 'NEFL', 'KCNMB4', 'PTPN11', 'GLRA3', 'ATP6V1C2', 'NPY', 'WLS', 'SPG11', 'STK4', 'ARF1', 'CRHBP', 'GLI1', 'LGI1', 'MC4R', 'LRRC4C', 'KPNA1', 'MINK1', 'RBP4', 'HGF', 'RGS4', 'FFAR4', 'HIP1', 'RPH3A', 'HCN4', 'WNT10A', 'DOC2B', 'CHRDL1', 'GREM1', 'CDH11', 'EFNB1', 'CARTPT', 'TNKS', 'CBLN2', 'HMGCR', 'GRID2', 'OXTR', 'VGLL4', 'PPARG', 'SOSTDC1', 'DRD5', 'GIT1', 'CACNB2']",0.0104741218026723,0.43623928273617,1.39559238329478,0,0,0,0,0.0235667740560127
"cell-cell signaling (GO:0007267)","GO:BP","GO:0007267","""Any process that mediates the transfer of information from one cell to another. This process includes signal transduction in the receiving cell and, where applicable, release of a ligand and any processes that actively facilitate its transport and presentation to the receiving cell. Examples include signaling via soluble ligands, via cell adhesion molecules and via gap junctions."" [GOC:dos, GOC:mah]","agepcd632",632,"['STK4', 'ARL6', 'SLC1A1', 'CORT', 'GRIN3A', 'KCNMB4', 'RAB3GAP1', 'KCNN2', 'PLCL1', 'HRH1', 'NPY', 'BRSK1', 'GPR68', 'CNTN4', 'NLK', 'SST', 'RASGRF1', 'CDH11', 'P2RX5', 'HGF', 'ANK2', 'DGKZ', 'ARF1', 'GAD2', 'CHRDL1', 'PINK1', 'SYNGAP1', 'NEFL', 'RAB3A', 'HIP1', 'GLRA3', 'LGI1', 'MINK1', 'HTR6', 'GREM1', 'HCN4', 'OXTR', 'MC4R', 'CRHBP', 'WNT10A', 'GRID2', 'RBP4', 'KPNA1', 'DOC2B', 'FFAR4', 'RGS4', 'RPH3A', 'CARTPT', 'TNKS', 'HMGCR', 'CBLN2', 'VGLL4', 'SOSTDC1', 'DRD5', 'PPARG', 'CACNB2', 'GIT1']",5.55333089961835e-05,0.0418008065420448,1.65530336648278,0,0,0,0,0.000184136761408398
"cell-cell signaling (GO:0007267)","GO:BP","GO:0007267","""Any process that mediates the transfer of information from one cell to another. This process includes signal transduction in the receiving cell and, where applicable, release of a ligand and any processes that actively facilitate its transport and presentation to the receiving cell. Examples include signaling via soluble ligands, via cell adhesion molecules and via gap junctions."" [GOC:dos, GOC:mah]","agepcd693",693,"['KCNN1', 'SLC32A1', 'NLK', 'RASGRF2', 'STX1A', 'KCNMB4', 'MAPK9', 'HIP1', 'CAMK2A', 'RAB3GAP1', 'CNTN4', 'OXTR', 'TAC1', 'NPY', 'CORT', 'ARF1', 'PINK1', 'RASGRF1', 'GPR68', 'MINK1', 'ARL6', 'NPBWR1', 'HRH1', 'GRIN3A', 'HCN4', 'BRSK1', 'ANK2', 'KCNN2', 'P2RX5', 'SYNGAP1', 'SST', 'LGI1', 'NEFL', 'WNT10A', 'GRID2', 'GREM1', 'RAB3A', 'GLRA3', 'VGLL4', 'DGKZ', 'GAD2', 'DOC2B', 'MC4R', 'KPNA1', 'RBP4', 'HTR6', 'FFAR4', 'CRHBP', 'RGS4', 'RPH3A', 'SOSTDC1', 'HMGCR', 'TNKS', 'CARTPT', 'DRD5', 'CBLN2', 'PPARG', 'CACNB2', 'GIT1']",3.24634723971814e-05,0.0229679067210058,1.66795354505439,0,0,0,0,0.000120305809471908
"cell-cell signaling (GO:0007267)","GO:BP","GO:0007267","""Any process that mediates the transfer of information from one cell to another. This process includes signal transduction in the receiving cell and, where applicable, release of a ligand and any processes that actively facilitate its transport and presentation to the receiving cell. Examples include signaling via soluble ligands, via cell adhesion molecules and via gap junctions."" [GOC:dos, GOC:mah]","agepcd754",754,"['GABRA5', 'FZD3', 'PTPRA', 'DTNB', 'CAMK2A', 'PINK1', 'HIP1', 'SLC32A1', 'KCNC4', 'STX1A', 'RAB3GAP1', 'HCN4', 'LGI1', 'KCNN1', 'RASGRF1', 'NTSR1', 'WNT10B', 'SYT17', 'MAPK9', 'NSMF', 'ARL6', 'RASGRF2', 'NPY', 'CORT', 'ADCYAP1', 'KCNMB4', 'NEFL', 'GPR68', 'SYNGAP1', 'NPBWR1', 'GAL', 'WNT10A', 'HRH1', 'TAC1', 'GRIN3A', 'BRSK1', 'ANK2', 'GLRA3', 'RAB3A', 'GRID2', 'P2RX5', 'KCNN2', 'DOC2B', 'SST', 'GREM1', 'GAD2', 'SOSTDC1', 'KPNA1', 'MC4R', 'RGS4', 'DGKZ', 'RBP4', 'FFAR4', 'RPH3A', 'HMGCR', 'CRHBP', 'TNKS', 'HTR6', 'DRD5', 'CARTPT', 'PPARG', 'GIT1', 'CBLN2', 'CACNB2']",1.24345454192012e-06,0.00090150454289209,1.78897626466317,0,0,0,0,7.54533394352085e-06
"cell-cell signaling (GO:0007267)","GO:BP","GO:0007267","""Any process that mediates the transfer of information from one cell to another. This process includes signal transduction in the receiving cell and, where applicable, release of a ligand and any processes that actively facilitate its transport and presentation to the receiving cell. Examples include signaling via soluble ligands, via cell adhesion molecules and via gap junctions."" [GOC:dos, GOC:mah]","agepcd815",815,"['EGFR', 'PRRT2', 'TRH', 'GPNMB', 'CTNNB1', 'CACNA1A', 'CITED1', 'CHRNA2', 'DAAM1', 'ZYX', 'ARHGEF19', 'SFRP2', 'ADORA1', 'IL7', 'SHISA8', 'HTR2A', 'LIN7C', 'CACNA1D', 'NRXN2', 'IGFBP2', 'TSHZ3', 'ZNF703', 'BIRC5', 'TIAM1', 'PDYN', 'NEUROD2', 'HES1', 'NLGN4X', 'AGT', 'TLE1', 'ADCY8', 'RNF138', 'WNT3', 'AKAP7']",0.551455910114404,0.711823318270832,0.991230867346939,0,0,0,0,0.551455910114404
